row_id,title,url,text
0,Golden Boy (1939 film),https://en.wikipedia.org/wiki/Golden_Boy_(1939_film),"Young, promising violinist Joe Bonaparte (William Holden) is in financial difficulties and decides to earn money as a boxer, though he will risk hand injuries. His father, Mr. Bonaparte senior (Lee J. Cobb), wants his son to continue developing his musical talent and buys him an expensive violin for his 21st birthday. But Joe persuades the almost bankrupt manager Tom Moody (Adolph Menjou) to let him try his hand at boxing and wins match after match. When his conscience starts bothering him and he questions his decision to enter boxing, Lorna Moon (Barbara Stanwyck), Moody's girl, is dispatched to convince him to keep fighting. Gangster Eddie Fuseli (Joseph Calleia) tries to get a piece of the action and buys Moody's share, turning the formerly sweet Joe into a hard-hearted boxer. Joe enters the semi-final match against Chocolate Drop (James 'Cannonball' Green) determined to win, but when he knocks out his opponent in the second round, killing him, both his and Lorna's attitudes change. He retires from boxing and returns with Lorna to his father and his music."
1,Item 47,https://en.wikipedia.org/wiki/Item_47,"Item 47 is a 2012 American direct-to-video short film featuring the Marvel Comics organization S.H.I.E.L.D. (Strategic Homeland Intervention Enforcement and Logistics Division), produced by Marvel Studios and distributed by Walt Disney Studios Home Entertainment on the home media release of Marvel's The Avengers. It is a follow-up and spin-off of The Avengers, and is the third Marvel One-Shot short film set in the Marvel Cinematic Universe (MCU), sharing continuity with the films of the franchise. The film is directed by Louis D'Esposito, with a screenplay by Eric Pearson, and stars Lizzy Caplan, Jesse Bradford, Maximiliano Hernández, and Titus Welliver, with Hernández reprising his role from the film series. In Item 47, two civilians come across a Chitauri gun and use it to commit crimes.\n\nThe short helped lead to ABC ordering a television series spin-off, Agents of S.H.I.E.L.D., which began airing in September 2013."
2,The Statement (film),https://en.wikipedia.org/wiki/The_Statement_(film),"Pierre Brossard (Caine), a French Nazi collaborator, orders seven Jews executed during World War II. Some 40 years later, he is pursued by ""David Manenbaum"" (Matt Craven), a hitman who is under orders to kill Brossard and leave a printed 'Statement' on his body proclaiming the assassination was vengeance for the Jews executed in 1944. Brossard kills ""Manenbaum,"" hiding the dead body after finding the printed ""Statement"" and discovering that his pursuer was travelling on a Canadian passport. Brossard for years has taken refuge in sanctuaries in southern France within the Traditionalist Catholic community, appealing to long-time allies who have operated in great secrecy to shield him and provide him with funds. But now they bring increased scrutiny to themselves for continuing to do so."
3,House (2008 film),https://en.wikipedia.org/wiki/House_(2008_film),"House is a 2008 horror film directed by Robby Henson, starring Reynaldo Rosales, Heidi Dippold and Michael Madsen. It is based on the novel of the same name by Frank E. Peretti and Ted Dekker. It covers the events that take place one night in an old, rustic inn in Alabama, where four guests and three owners find themselves locked in by a homicidical maniac. The maniac claims to have killed God and threatens to murder all seven of them, unless they produce the dead body of one of them by dawn."
4,Conspiracy (2008 film),https://en.wikipedia.org/wiki/Conspiracy_(2008_film),"Conspiracy is a 2008 American action thriller film written and directed by Adam Marcus and stars Val Kilmer and Jennifer Esposito. The film is influenced by the classic western film noir thriller ""Bad Day at Black Rock"" (1955), which itself was an adaptation of a short story ""Bad Time at Honda"" by Howard Breslin. The film was released on direct-to-DVD in the United States on March 18, 2008."
5,Salt (2010 film),https://en.wikipedia.org/wiki/Salt_(2010_film),"Salt is a 2010 American action thriller film directed by Phillip Noyce, written by Kurt Wimmer, and starring Angelina Jolie, Liev Schreiber, Daniel Olbrychski, August Diehl, and Chiwetel Ejiofor. Jolie plays Evelyn Salt, who is accused of being a Russian sleeper agent and goes on the run to try to clear her name."
6,The World's End (film),https://en.wikipedia.org/wiki/The_World's_End_(film),"The World's End is a 2013 British-American comic science fiction film directed by Edgar Wright, written by Wright and Simon Pegg, and starring Pegg, Nick Frost, Paddy Considine, Martin Freeman, Eddie Marsan and Rosamund Pike. The film follows a group of friends who discover an alien invasion during an epic pub crawl in their home town."
7,Code 8 (2019 film),https://en.wikipedia.org/wiki/Code_8_(2019_film),"Code 8 is a 2019 Canadian science fiction thriller film directed by Jeff Chan, about a man with superpowers who works with a group of criminals to raise money to help his sick mother. The film is a feature length version of the 2016 short film of the same name."
8,Out of Time (1988 film),https://en.wikipedia.org/wiki/Out_of_Time_(1988_film),"Out of Time is a 1988 science fiction film, directed by Robert Butler and starring Bruce Abbott and Bill Maher. It was a failed television pilot made into a television movie."
9,Freezer (film),https://en.wikipedia.org/wiki/Freezer_(film),"Freezer is a 2014 American thriller film, directed by TV director Mikael Salomon. The film stars Dylan McDermott, Yuliya Snigir and Peter Facinelli."
10,Rockabye (1986 film),https://en.wikipedia.org/wiki/Rockabye_(1986_film),"Rockabye is a 1986 made-for-TV crime drama film, directed by Richard Michaels and starring Valerie Bertinelli, Rachel Ticotin, Jason Alexander, and Jimmy Smits."
11,Irrational Man (film),https://en.wikipedia.org/wiki/Irrational_Man_(film),"Irrational Man is a 2015 American crime mystery drama film written and directed by Woody Allen, and starring Joaquin Phoenix, Emma Stone, Parker Posey and Jamie Blackley. The film was released on July 17, 2015, by Sony Pictures Classics in a limited release, later expanding wider."
